================ Training Loss (Sat Aug  1 17:29:51 2026) ================
[Rank 0] (epoch: 3, iters: 21504, time: 0.001, data: 0.001) , D_A: 0.281, G_A: 1.063, cycle_A: 0.278, D_B: 0.202, G_B: 0.904, cycle_B: 0.222, gp: 0.187

[Rank 0] (epoch: 3, iters: 23104, time: 0.001, data: 0.001) , D_A: 0.358, G_A: 0.714, cycle_A: 0.265, D_B: 0.316, G_B: 0.795, cycle_B: 0.244, gp: 0.297

[Rank 0] (epoch: 3, iters: 24704, time: 0.001, data: 0.001) , D_A: 0.305, G_A: 1.053, cycle_A: 0.266, D_B: 0.310, G_B: 1.013, cycle_B: 0.237, gp: 0.298

[Rank 0] (epoch: 3, iters: 26304, time: 0.001, data: 0.001) , D_A: 0.315, G_A: 0.641, cycle_A: 0.290, D_B: 0.322, G_B: 0.962, cycle_B: 0.238, gp: 0.306

[Rank 0] (epoch: 3, iters: 27904, time: 0.001, data: 0.001) , D_A: 0.278, G_A: 1.323, cycle_A: 0.299, D_B: 0.206, G_B: 0.891, cycle_B: 0.238, gp: 0.194

[Rank 0] (epoch: 3, iters: 29504, time: 0.001, data: 0.001) , D_A: 0.523, G_A: 0.325, cycle_A: 0.254, D_B: 0.240, G_B: 0.916, cycle_B: 0.259, gp: 0.227

[Rank 0] (epoch: 3, iters: 31104, time: 0.001, data: 0.001) , D_A: 0.517, G_A: 0.618, cycle_A: 0.266, D_B: 0.270, G_B: 0.954, cycle_B: 0.226, gp: 0.256

[Rank 0] (epoch: 3, iters: 32704, time: 0.001, data: 0.001) , D_A: 0.400, G_A: 0.735, cycle_A: 0.302, D_B: 0.210, G_B: 1.032, cycle_B: 0.268, gp: 0.197

[Rank 0] (epoch: 3, iters: 34304, time: 0.001, data: 0.001) , D_A: 0.391, G_A: 1.155, cycle_A: 0.298, D_B: 0.232, G_B: 0.909, cycle_B: 0.227, gp: 0.217

[Rank 0] (epoch: 3, iters: 35904, time: 0.001, data: 0.001) , D_A: 0.389, G_A: 1.286, cycle_A: 0.264, D_B: 0.237, G_B: 0.968, cycle_B: 0.222, gp: 0.225

[Rank 0] (epoch: 3, iters: 37504, time: 0.001, data: 0.001) , D_A: 0.347, G_A: 1.064, cycle_A: 0.276, D_B: 0.212, G_B: 0.991, cycle_B: 0.233, gp: 0.200

[Rank 0] (epoch: 3, iters: 39104, time: 0.001, data: 0.001) , D_A: 0.364, G_A: 0.995, cycle_A: 0.270, D_B: 0.282, G_B: 0.896, cycle_B: 0.236, gp: 0.267

[Rank 0] (epoch: 4, iters: 256, time: 0.001, data: 0.001) , D_A: 0.461, G_A: 1.215, cycle_A: 0.297, D_B: 0.203, G_B: 0.983, cycle_B: 0.215, gp: 0.193

[Rank 0] (epoch: 4, iters: 1856, time: 0.001, data: 0.002) , D_A: 0.293, G_A: 1.134, cycle_A: 0.268, D_B: 0.226, G_B: 1.041, cycle_B: 0.221, gp: 0.215

[Rank 0] (epoch: 4, iters: 3456, time: 0.001, data: 0.001) , D_A: 0.287, G_A: 1.055, cycle_A: 0.263, D_B: 0.213, G_B: 1.016, cycle_B: 0.218, gp: 0.201

[Rank 0] (epoch: 4, iters: 5056, time: 0.001, data: 0.001) , D_A: 0.324, G_A: 1.063, cycle_A: 0.274, D_B: 0.194, G_B: 1.022, cycle_B: 0.224, gp: 0.184

[Rank 0] (epoch: 4, iters: 6656, time: 0.001, data: 0.001) , D_A: 0.361, G_A: 0.897, cycle_A: 0.426, D_B: 0.260, G_B: 0.931, cycle_B: 0.224, gp: 0.241

[Rank 0] (epoch: 4, iters: 8256, time: 0.001, data: 0.001) , D_A: 0.317, G_A: 1.098, cycle_A: 0.283, D_B: 0.256, G_B: 1.042, cycle_B: 0.233, gp: 0.247

[Rank 0] (epoch: 4, iters: 9856, time: 0.001, data: 0.001) , D_A: 0.358, G_A: 0.907, cycle_A: 0.258, D_B: 0.221, G_B: 0.911, cycle_B: 0.227, gp: 0.205

[Rank 0] (epoch: 4, iters: 11456, time: 0.001, data: 0.001) , D_A: 0.418, G_A: 1.114, cycle_A: 0.286, D_B: 0.231, G_B: 1.045, cycle_B: 0.398, gp: 0.218

[Rank 0] (epoch: 4, iters: 13056, time: 0.001, data: 0.001) , D_A: 0.288, G_A: 1.021, cycle_A: 0.271, D_B: 0.239, G_B: 1.027, cycle_B: 0.244, gp: 0.228

[Rank 0] (epoch: 4, iters: 14656, time: 0.001, data: 0.001) , D_A: 0.301, G_A: 1.038, cycle_A: 0.269, D_B: 0.236, G_B: 0.999, cycle_B: 0.256, gp: 0.225

[Rank 0] (epoch: 4, iters: 16256, time: 0.001, data: 0.001) , D_A: 0.264, G_A: 0.896, cycle_A: 0.287, D_B: 0.150, G_B: 1.002, cycle_B: 0.212, gp: 0.136

